order_id,date_raw,order_date,date_format_source,order_year,order_month,order_month_start,order_month_name,order_day_name,item_name,item_type,item_price,quantity,transaction_amount,expected_transaction_amount,transaction_amount_matches_expected,transaction_type,missing_transaction_type_flag,received_by,received_by_is_ambiguous_flag,time_of_sale,parsed_date_missing_flag,duplicate_order_id_flag,has_any_quality_flag
1,07-03-2022,2022-03-07,dd-mm-yyyy,2022,2022-03,2022-03-01,Mar 2022,Monday,Aalopuri,Fastfood,20,13,260,260,True,Unknown,True,Mr.,True,Night,False,False,True
2,8/23/2022,2022-08-23,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Tuesday,Vadapav,Fastfood,20,15,300,300,True,Cash,False,Mr.,True,Afternoon,False,False,False
3,11/20/2022,2022-11-20,mm/dd/yyyy,2022,2022-11,2022-11-01,Nov 2022,Sunday,Vadapav,Fastfood,20,1,20,20,True,Cash,False,Mr.,True,Afternoon,False,False,False
4,02-03-2023,2023-03-02,dd-mm-yyyy,2023,2023-03,2023-03-01,Mar 2023,Thursday,Sugarcane juice,Beverages,25,6,150,150,True,Online,False,Mr.,True,Night,False,False,False
5,10-02-2022,2022-02-10,dd-mm-yyyy,2022,2022-02,2022-02-01,Feb 2022,Thursday,Sugarcane juice,Beverages,25,8,200,200,True,Online,False,Mr.,True,Evening,False,False,False
6,11/14/2022,2022-11-14,mm/dd/yyyy,2022,2022-11,2022-11-01,Nov 2022,Monday,Vadapav,Fastfood,20,10,200,200,True,Cash,False,Mr.,True,Evening,False,False,False
7,05-03-2022,2022-03-05,dd-mm-yyyy,2022,2022-03,2022-03-01,Mar 2022,Saturday,Sugarcane juice,Beverages,25,9,225,225,True,Cash,False,Mr.,True,Evening,False,False,False
8,12/22/2022,2022-12-22,mm/dd/yyyy,2022,2022-12,2022-12-01,Dec 2022,Thursday,Panipuri,Fastfood,20,14,280,280,True,Online,False,Mr.,True,Night,False,False,False
9,06-10-2022,2022-10-06,dd-mm-yyyy,2022,2022-10,2022-10-01,Oct 2022,Thursday,Panipuri,Fastfood,20,1,20,20,True,Cash,False,Mrs.,True,Morning,False,False,False
10,9/16/2022,2022-09-16,mm/dd/yyyy,2022,2022-09,2022-09-01,Sep 2022,Friday,Panipuri,Fastfood,20,5,100,100,True,Online,False,Mr.,True,Afternoon,False,False,False
11,12-01-2022,2022-01-12,dd-mm-yyyy,2022,2022-01,2022-01-01,Jan 2022,Wednesday,Frankie,Fastfood,50,8,400,400,True,Online,False,Mrs.,True,Afternoon,False,False,False
12,07-12-2022,2022-12-07,dd-mm-yyyy,2022,2022-12,2022-12-01,Dec 2022,Wednesday,Vadapav,Fastfood,20,8,160,160,True,Online,False,Mrs.,True,Night,False,False,False
13,12/22/2022,2022-12-22,mm/dd/yyyy,2022,2022-12,2022-12-01,Dec 2022,Thursday,Panipuri,Fastfood,20,9,180,180,True,Online,False,Mrs.,True,Afternoon,False,False,False
14,11/25/2022,2022-11-25,mm/dd/yyyy,2022,2022-11,2022-11-01,Nov 2022,Friday,Frankie,Fastfood,50,4,200,200,True,Online,False,Mr.,True,Morning,False,False,False
15,02-03-2023,2023-03-02,dd-mm-yyyy,2023,2023-03,2023-03-01,Mar 2023,Thursday,Aalopuri,Fastfood,20,3,60,60,True,Cash,False,Mrs.,True,Evening,False,False,False
16,4/14/2022,2022-04-14,mm/dd/yyyy,2022,2022-04,2022-04-01,Apr 2022,Thursday,Sandwich,Fastfood,60,11,660,660,True,Unknown,True,Mrs.,True,Midnight,False,False,True
17,10/16/2022,2022-10-16,mm/dd/yyyy,2022,2022-10,2022-10-01,Oct 2022,Sunday,Panipuri,Fastfood,20,11,220,220,True,Cash,False,Mrs.,True,Morning,False,False,False
18,11-05-2022,2022-05-11,dd-mm-yyyy,2022,2022-05,2022-05-01,May 2022,Wednesday,Panipuri,Fastfood,20,10,200,200,True,Cash,False,Mrs.,True,Night,False,False,False
19,8/22/2022,2022-08-22,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Monday,Panipuri,Fastfood,20,11,220,220,True,Cash,False,Mrs.,True,Night,False,False,False
20,9/15/2022,2022-09-15,mm/dd/yyyy,2022,2022-09,2022-09-01,Sep 2022,Thursday,Cold coffee,Beverages,40,10,400,400,True,Online,False,Mr.,True,Night,False,False,False
21,12/21/2022,2022-12-21,mm/dd/yyyy,2022,2022-12,2022-12-01,Dec 2022,Wednesday,Cold coffee,Beverages,40,15,600,600,True,Cash,False,Mr.,True,Evening,False,False,False
22,10-04-2022,2022-04-10,dd-mm-yyyy,2022,2022-04,2022-04-01,Apr 2022,Sunday,Sugarcane juice,Beverages,25,12,300,300,True,Online,False,Mr.,True,Evening,False,False,False
23,5/26/2022,2022-05-26,mm/dd/yyyy,2022,2022-05,2022-05-01,May 2022,Thursday,Sandwich,Fastfood,60,3,180,180,True,Online,False,Mr.,True,Midnight,False,False,False
24,02-11-2023,2023-11-02,dd-mm-yyyy,2023,2023-11,2023-11-01,Nov 2023,Thursday,Sugarcane juice,Beverages,25,10,250,250,True,Online,False,Mr.,True,Afternoon,False,False,False
25,8/31/2022,2022-08-31,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Wednesday,Sandwich,Fastfood,60,1,60,60,True,Online,False,Mrs.,True,Evening,False,False,False
26,8/18/2022,2022-08-18,mm/dd/yyyy,2022,2022-08,2022-08-01,Aug 2022,Thursday,Sugarcane juice,Beverages,25,4,100,100,True,Cash,False,Mr.,True,Afternoon,False,False,False
27,10-12-2022,2022-12-10,dd-mm-yyyy,2022,2022-12,2022-12-01,Dec 2022,Saturday,Cold coffee,Beverages,40,11,440,440,True,Online,False,Mrs.,True,Afternoon,False,False,False
28,01-06-2023,2023-06-01,dd-mm-yyyy,2023,2023-06,2023-06-01,Jun 2023,Thursday,Cold coffee,Beverages,40,10,400,400,True,Online,False,Mrs.,True,Afternoon,False,False,False
29,02-10-2023,2023-10-02,dd-mm-yyyy,2023,2023-10,2023-10-01,Oct 2023,Monday,Sugarcane juice,Beverages,25,9,225,225,True,Online,False,Mr.,True,Afternoon,False,False,False
30,1/28/2023,2023-01-28,mm/dd/yyyy,2023,2023-01,2023-01-01,Jan 2023,Saturday,Frankie,Fastfood,50,2,100,100,True,Cash,False,Mrs.,True,Night,False,False,False
31,9/14/2022,2022-09-14,mm/dd/yyyy,2022,2022-09,2022-09-01,Sep 2022,Wednesday,Cold coffee,Beverages,40,13,520,520,True,Online,False,Mrs.,True,Evening,False,False,False
